Lesson,N,HTML,TITLE
14,4,"<iframe src=""https://learningapps.org/watch?v=pvyk5vp8t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Articles
14,5,"<iframe src=""https://learningapps.org/watch?v=pekaccch519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Aricles à la forme affirmative et négative
14,6,"<iframe src=""https://learningapps.org/watch?v=pjx28hbyc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Fiche d'inscription 
14,7,"<iframe src=""https://learningapps.org/watch?v=p0r3g50on19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Interrogation 
15,1,"<iframe src=""https://learningapps.org/watch?v=p67gjdjmc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Ch [k]
15,2,"<iframe src=""https://learningapps.org/watch?v=ppy1nsym519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe répondre
15,3,"<iframe src=""https://learningapps.org/watch?v=p5h597xfj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Réponse
15,4,"<iframe src=""https://learningapps.org/watch?v=ptadryszc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Étages
15,5,"<iframe src=""https://learningapps.org/watch?v=p71smcsik19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le féminin
15,6,"<iframe src=""https://learningapps.org/watch?v=p9361v7za19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Articles
15,7,"<iframe src=""https://learningapps.org/watch?v=pm9o1yw5a19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article contracté 
16,1,"<iframe src=""https://learningapps.org/watch?v=pq8qozzek19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
16,2,"<iframe src=""https://learningapps.org/watch?v=p9ja954ka19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",La famille
16,3,"<iframe src=""https://learningapps.org/watch?v=pp69z19mc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Place de l'adjectif
16,4,"<iframe src=""https://learningapps.org/watch?v=pwtxu8my219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Beau/nouveau/vieux
16,5,"<iframe src=""https://learningapps.org/watch?v=pqw6xnmh519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le féminin
16,6,"<iframe src=""https://learningapps.org/watch?v=prjsc84va19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Pluriel
16,7,"<iframe src=""https://learningapps.org/watch?v=p0u97h8kt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Connaître
17,6,"<iframe src=""https://learningapps.org/watch?v=pv7byvy5v19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Poser/ demander/ répondre
17,7,"<iframe src=""https://learningapps.org/watch?v=pzkrngxmc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les couleurs 
17,1,"<iframe src=""https://learningapps.org/watch?v=pbsztsskt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
17,2,"<iframe src=""https://learningapps.org/watch?v=p30h55h5v19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe savoir
17,3,"<iframe src=""https://learningapps.org/watch?v=psmh8i5sc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Comprendre
17,4,"<iframe src=""https://learningapps.org/watch?v=pt5c4bozj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",De + nom sans article
17,5,"<iframe src=""https://learningapps.org/watch?v=p5d4byibj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Article indéfini (un. une, des ou de)"
18,6,"<iframe src=""https://learningapps.org/watch?v=p8f8umo2c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Je voudrais
18,7,"<iframe src=""https://learningapps.org/watch?v=p70g4zobt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe prendre
18,8,"<iframe src=""https://learningapps.org/watch?v=p8p1e12q519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe acheter
18,1,"<iframe src=""https://learningapps.org/watch?v=pbrmy6pjn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
18,2,"<iframe src=""https://learningapps.org/watch?v=pi8p4e8an19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",C'est une fête
18,3,"<iframe src=""https://learningapps.org/watch?v=ptv03gy2319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article contracté
18,4,"<iframe src=""https://learningapps.org/watch?v=p0mzbbt1j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe savoir
18,5,"<iframe src=""https://learningapps.org/watch?v=pczw7sopk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Adjectif 
19,1,"<iframe src=""https://learningapps.org/watch?v=pr6rn9rtv19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
19,2,"<iframe src=""https://learningapps.org/watch?v=p0i1djzpc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Connaître, savoir, répondre "
19,3,"<iframe src=""https://learningapps.org/watch?v=p1a81eoyk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Connaître ou savoir
19,4,"<iframe src=""https://learningapps.org/watch?v=p22ba1yjc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe écrire
19,5,"<iframe src=""https://learningapps.org/watch?v=pcenivn6t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Une fois parjour
19,6,"<iframe src=""https://learningapps.org/watch?v=pzpeyfoij19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe prendre
19,7,"<iframe src=""https://learningapps.org/watch?v=p08rr716219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Expressions avec le verbe prendre
20,1,"<iframe src=""https://learningapps.org/watch?v=py74tu7w219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
20,2,"<iframe src=""https://learningapps.org/watch?v=p4ydr9oc319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Payer + préposition
20,3,"<iframe src=""https://learningapps.org/watch?v=p5dhv9ijn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe écrire
20,4,"<iframe src=""https://learningapps.org/watch?v=pb23ko2dn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Accord des mots en -al
20,5,"<iframe src=""https://learningapps.org/watch?v=p0qwh3pnj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Quantité + nom sans artide
20,6,"<iframe src=""https://learningapps.org/watch?v=p89e9y82n19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Prendre, comprendre, apprendre"
20,7,"<iframe src=""https://learningapps.org/watch?v=p91tk393k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe aller
21,1,"<iframe src=""https://learningapps.org/watch?v=pigsh5rxn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Argent
