VERB,EMPLOI,IDX,Verbe freq.
raconter,Fréquent - Transitif - Autorise la forme pronominale,25,5884
raffoler,Transitif,49,#N/A
rafraîchir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rager,Intransitif,29,#N/A
raidir,Transitif - Autorise la forme pronominale,50,#N/A
railler,Intransitif - Transitif - Autorise la forme pronominale,42,276
raire,Intransitif - Impersonnel,35,#N/A
raisonner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rajeunir,Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,43,#N/A
rajouter,Transitif,49,#N/A
ralentir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
râler,Intransitif,29,#N/A
rallier,Intransitif - Autorise la forme pronominale,30,#N/A
ramasser,Fréquent - Transitif - Autorise la forme pronominale,25,1498
ramener,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
ramer,Intransitif - Transitif,41,#N/A
ramollir,Transitif - Autorise la forme pronominale,50,#N/A
ranger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
rapatrier,Transitif - Autorise la forme pronominale,50,#N/A
rapetisser,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
rappeler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rapporter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rapprocher,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
raser,Transitif - Autorise la forme pronominale,50,#N/A
rassasier,Transitif - Autorise la forme pronominale,50,#N/A
rassembler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
rasseoir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
rassir,Défectif,2,#N/A
rassurer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
rater,Intransitif - Transitif,41,#N/A
rattacher,Transitif - Autorise la forme pronominale,50,#N/A
rattraper,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
ravager,Fréquent - Transitif,24,#N/A
ravir,Fréquent - Transitif,24,#N/A
ravoir,Transitif - Défectif,55,#N/A
rayer,Transitif - Autorise la forme pronominale,50,#N/A
rayonner,Intransitif - Transitif,41,#N/A
réagir,Intransitif,29,#N/A
réaliser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
réapparaître,Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,#N/A
réapprendre,Transitif,49,#N/A
rebondir,Intransitif,29,#N/A
recenser,Transitif,49,#N/A
réceptionner,Transitif,49,#N/A
recevoir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,8585
réchauffer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
rechercher,Fréquent - Transitif,24,#N/A
réciter,Fréquent - Transitif,24,#N/A
réclamer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2146
récolter,Fréquent - Transitif,24,#N/A
recommander,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
recommencer,Intransitif - Transitif,41,#N/A
récompenser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
réconcilier,Transitif - Autorise la forme pronominale,50,#N/A
reconduire,Fréquent - Transitif,24,#N/A
réconforter,Transitif - Autorise la forme pronominale,50,#N/A
reconnaître,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
reconquérir,Transitif,49,#N/A
reconstruire,Transitif,49,#N/A
recontacter,Transitif - Autorise la forme pronominale - S'utilise en Afrique,53,#N/A
recopier,Transitif,49,#N/A
recoudre,Transitif,49,#N/A
recourir,Intransitif - Transitif,41,#N/A
recouvrer,Transitif,49,#N/A
recouvrir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
récrire,Transitif,49,#N/A
recruter,Transitif - Autorise la forme pronominale,50,166
rectifier,Transitif,49,240
recueillir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
reculer,Fréquent - Intransitif - Autorise la forme pronominale,7,1984
récupérer,Transitif,49,129
redécouvrir,Transitif,49,#N/A
redémarrer,Transitif,49,#N/A
redescendre,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
redevenir,Transitif - Se conjugue avec l'auxiliaire être aux temps composés,57,#N/A
redevoir,Transitif,49,#N/A
rédiger,Transitif,49,379
redire,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
redonner,Intransitif - Transitif,41,#N/A
réduire,Fréquent - Transitif - Autorise la forme pronominale,25,1270
réécrire,Intransitif - Transitif,41,#N/A
réélire,Transitif,49,#N/A
réer,Intransitif,29,#N/A
réessayer,Transitif,49,#N/A
refaire,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
référencer,Transitif,49,#N/A
référer,Intransitif - Autorise la forme pronominale,30,#N/A
refermer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
réfléchir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
refléter,Transitif - Autorise la forme pronominale,50,#N/A
refroidir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
se réfugier,Fréquent - Autorise la forme pronominale,4,#N/A
refuser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,5483
régaler,Transitif - Autorise la forme pronominale,50,#N/A
regarder,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,25517
régir,Transitif,49,#N/A
réglementer,Transitif,49,#N/A
régler,Fréquent - Transitif,24,#N/A
régner,Fréquent - Intransitif,6,#N/A
regretter,Fréquent - Transitif,24,#N/A
regrouper,Transitif - Autorise la forme pronominale,50,#N/A
réinscrire,Transitif - Autorise la forme pronominale,50,#N/A
réitérer,Transitif - Autorise la forme pronominale,50,45
rejeter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
rejoindre,Fréquent - Transitif - Autorise la forme pronominale,25,2776
réjouir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
relâcher,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
relancer,Transitif,49,#N/A
relater,Transitif,49,#N/A
relayer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
relever,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
relier,Fréquent - Transitif,24,#N/A
relire,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
reluire,Transitif,49,#N/A
remarquer,Fréquent - Transitif - Autorise la forme pronominale,25,3009
rembourser,Transitif,49,#N/A
remédier,Intransitif,29,#N/A
remémorer,Transitif - Autorise la forme pronominale,50,#N/A
remercier,Fréquent - Transitif,24,#N/A
remettre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
remonter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
remplacer,Fréquent - Transitif,24,#N/A
remplir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
remporter,Transitif,49,223
remuer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rémunérer,Transitif,49,#N/A
renaître,Intransitif - Se conjugue avec l'auxiliaire être aux temps composés - Défectif,37,#N/A
renchérir,Intransitif,29,#N/A
rencontrer,Fréquent - Transitif - Autorise la forme pronominale,25,4165
rendormir,Transitif - Autorise la forme pronominale,50,#N/A
rendre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,18431
renforcer,Transitif - Autorise la forme pronominale,50,#N/A
renier,Transitif,49,#N/A
renommer,Transitif,49,#N/A
renoncer,Fréquent - Intransitif - Transitif,16,#N/A
renouveler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
renseigner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
renter,Transitif,49,#N/A
rentrer,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
renverser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
renvoyer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
repaître,Transitif - Autorise la forme pronominale,50,#N/A
répandre,Fréquent - Transitif - Autorise la forme pronominale,25,1490
reparaître,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
réparer,Fréquent - Transitif,24,682
reparler,Intransitif,29,#N/A
repasser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
repeindre,Transitif,49,#N/A
rependre,Transitif,49,#N/A
se repentir,Fréquent - Autorise la forme pronominale,4,#N/A
repérer,Transitif - Autorise la forme pronominale,50,#N/A
répertorier,Transitif,49,#N/A
repleuvoir,Impersonnel,28,#N/A
replier,Transitif - Autorise la forme pronominale,50,#N/A
répondre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,18579
reporter,Transitif - Autorise la forme pronominale,50,762
reposer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
repousser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
reprendre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
représenter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
reprocher,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
reproduire,Transitif - Autorise la forme pronominale,50,#N/A
requérir,Transitif,49,#N/A
réserver,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
résider,Intransitif,29,614
résilier,Transitif,49,#N/A
résister,Fréquent - Intransitif,6,#N/A
résonner,Fréquent - Intransitif,6,#N/A
résoudre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
respecter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
respirer,Fréquent - Intransitif - Transitif,16,2877
resplendir,Intransitif,29,#N/A
ressaisir,Transitif - Autorise la forme pronominale,50,#N/A
ressayer,Transitif,49,#N/A
ressembler,Intransitif - Autorise la forme pronominale,30,#N/A
ressentir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
resserrer,Transitif - Autorise la forme pronominale,50,#N/A
resservir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
ressortir,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
ressusciter,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
restaurer,Transitif - Autorise la forme pronominale,50,#N/A
rester,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,17092
restituer,Transitif,49,#N/A
restreindre,Transitif - Autorise la forme pronominale,50,#N/A
résulter,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés - Défectif - Impersonnel,15,#N/A
résumer,Transitif - Autorise la forme pronominale,50,871
rétablir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
retarder,Fréquent - Intransitif - Transitif,16,#N/A
retenir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
retentir,Intransitif,29,845
retirer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
retomber,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
retourner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
retranscrire,Transitif,49,#N/A
retransmettre,Transitif,49,#N/A
rétrécir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
retrouver,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
réunir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
réussir,Fréquent - Intransitif - Transitif,16,2423
revaloir,Transitif,49,#N/A
rêvasser,Intransitif,29,#N/A
réveiller,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
révéler,Fréquent - Transitif - Autorise la forme pronominale,25,2248
revendiquer,Transitif,49,#N/A
revendre,Transitif,49,#N/A
revenir,Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,10,#N/A
rêver,Fréquent - Intransitif - Transitif,16,#N/A
revêtir,Transitif,49,#N/A
réviser,Transitif,49,#N/A
revivre,Intransitif - Transitif,41,#N/A
revoir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
revouloir,Transitif,49,#N/A
rigoler,Intransitif,29,290
rimer,Intransitif - Transitif,41,#N/A
rincer,Transitif - Autorise la forme pronominale,50,92
rire,Fréquent - Intransitif - Autorise la forme pronominale,7,11650
risquer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
rompre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
ronfler,Intransitif,29,#N/A
ronger,Fréquent - Transitif - Autorise la forme pronominale,25,472
ronronner,Intransitif,29,90
roquer,Transitif,49,#N/A
roser,Transitif,49,#N/A
rôtir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
rougir,Fréquent - Intransitif - Transitif,16,#N/A
rouler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2953
rouspéter,Intransitif,29,19
rouvrir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
ruer,Intransitif - Autorise la forme pronominale,30,338
rugir,Intransitif,29,132
ruisseler,Intransitif,29,#N/A
sacrifier,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
saigner,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
saillir,Intransitif - Transitif - Défectif,45,#N/A
saisir,Fréquent - Transitif - Autorise la forme pronominale,25,4274
saler,Fréquent - Transitif,24,#N/A
salir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
saloper,Transitif,49,#N/A
saluer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
sangloter,Intransitif,29,#N/A
saouler,Transitif - Autorise la forme pronominale,50,#N/A
saper,Transitif - Autorise la forme pronominale,50,#N/A
satisfaire,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
saurer,Transitif,49,#N/A
sauter,Fréquent - Intransitif - Transitif,16,3049
sauvegarder,Transitif,49,#N/A
sauver,Fréquent - Transitif - Autorise la forme pronominale,25,4090
savoir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,72808
savonner,Transitif - Autorise la forme pronominale,50,#N/A
savourer,Transitif,49,#N/A
scanner,Transitif,49,#N/A
sceller,Transitif,49,#N/A
scier,Fréquent - Intransitif - Transitif,16,#N/A
scinder,Transitif - Autorise la forme pronominale,50,#N/A
scruter,Transitif,49,218
sécher,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
secouer,Fréquent - Transitif - Autorise la forme pronominale,25,2184
secourir,Fréquent - Transitif,24,#N/A
séduire,Transitif,49,#N/A
séjourner,Transitif,49,#N/A
sélectionner,Transitif,49,#N/A
seller,Transitif,49,#N/A
sembler,Fréquent - Intransitif,6,25696
semer,Fréquent - Transitif,24,#N/A
sentir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,20444
seoir,Intransitif - Autorise la forme pronominale,30,#N/A
séparer,Fréquent - Transitif - Autorise la forme pronominale,25,3124
serrer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,3861
sertir,Transitif,49,#N/A
servir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,9369
sévir,Intransitif,29,188
sevrer,Transitif,49,#N/A
siéger,Intransitif,29,#N/A
siffler,Fréquent - Intransitif - Transitif,16,920
signaler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
signer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
signifier,Fréquent - Transitif,24,2290
simplifier,Transitif - Autorise la forme pronominale,50,#N/A
siroter,Transitif,49,#N/A
situer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
skier,Intransitif,29,#N/A
soigner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
solliciter,Transitif,49,608
solutionner,Transitif,49,#N/A
sommeiller,Intransitif,29,#N/A
sommer,Transitif,49,#N/A
songer,Fréquent - Intransitif,6,8327
sonner,Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,3297
sortir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,12868
se soucier,Autorise la forme pronominale,0,#N/A
souder,Transitif - Autorise la forme pronominale,50,#N/A
soudoyer,Transitif,49,#N/A
souffler,Fréquent - Intransitif - Transitif,16,#N/A
souffrir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,7125
souhaiter,Fréquent - Transitif,24,2875
soulager,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
soûler,Transitif - Autorise la forme pronominale,50,#N/A
soulever,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
souligner,Transitif,49,#N/A
soumettre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
soupçonner,Fréquent - Transitif,24,1343
souper,Fréquent - Intransitif,6,#N/A
soupirer,Fréquent - Intransitif,6,#N/A
sourdre,Intransitif - Défectif,33,128
sourire,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
sous-entendre,Transitif,49,#N/A
sous-tendre,Transitif,49,#N/A
souscrire,Intransitif,29,#N/A
soustraire,Fréquent - Transitif,24,#N/A
soutenir,Fréquent - Transitif - Autorise la forme pronominale,25,2636
se souvenir,Fréquent - Autorise la forme pronominale,4,#N/A
spécifier,Transitif,49,#N/A
statuer,Intransitif - Transitif,41,#N/A
stipuler,Transitif,49,#N/A
stocker,Transitif,49,#N/A
stopper,Intransitif - Transitif,41,98
stresser,Transitif,49,#N/A
stupéfaire,Transitif - Défectif - Impersonnel,56,#N/A
stupéfier,Transitif,49,#N/A
subir,Fréquent - Transitif,24,1645
subodorer,Transitif,49,#N/A
subsister,Intransitif,29,#N/A
substituer,Transitif - Autorise la forme pronominale,50,#N/A
subvenir,Intransitif,29,#N/A
succéder,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
succomber,Intransitif,29,425
sucer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,189
suer,Intransitif - Transitif,41,#N/A
suffire,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
suffoquer,Intransitif - Transitif,41,242
suggérer,Fréquent - Transitif,24,622
se suicider,Autorise la forme pronominale,0,#N/A
suivre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
suppléer,Transitif,49,238
supplier,Fréquent - Transitif,24,1408
supporter,Fréquent - Transitif,24,2455
supposer,Fréquent - Transitif,24,3871
supprimer,Fréquent - Transitif - Autorise la forme pronominale,25,1181
supputer,Transitif,49,81
surfaire,Transitif,49,#N/A
surfer,Intransitif,29,#N/A
surgir,Intransitif,29,1462
surprendre,Fréquent - Transitif - Autorise la forme pronominale,25,1935
sursauter,Intransitif,29,#N/A
surseoir,Transitif,49,#N/A
surveiller,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
survenir,Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,36,#N/A
survivre,Intransitif - Autorise la forme pronominale,30,#N/A
susciter,Transitif,49,882
suspendre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
sustenter,Transitif - Autorise la forme pronominale,50,15
susurrer,Intransitif - Transitif,41,33
tailler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
taire,Fréquent - Intransitif - Autorise la forme pronominale,7,5714
taler,Transitif,49,23
tanner,Transitif,49,#N/A
taper,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1168
se tapir,Autorise la forme pronominale,0,#N/A
taquiner,Transitif - Autorise la forme pronominale,50,207
tarder,Fréquent - Intransitif,6,#N/A
tarer,Transitif,49,#N/A
tarir,Intransitif - Transitif - Autorise la forme pronominale,42,223
tasser,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
tâter,Fréquent - Transitif - Autorise la forme pronominale,25,797
tatouer,Transitif,49,#N/A
teindre,Transitif - Autorise la forme pronominale,50,#N/A
teinter,Transitif - Autorise la forme pronominale,50,#N/A
télécharger,Transitif,49,#N/A
téléphoner,Fréquent - Intransitif - Transitif,16,#N/A
témoigner,Fréquent - Intransitif - Transitif,16,#N/A
tendre,Fréquent - Transitif - Autorise la forme pronominale,25,3539
tenir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,26488
tenter,Fréquent - Intransitif - Transitif,16,1854
terminer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
ternir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
tester,Transitif,49,#N/A
tiédir,Intransitif - Transitif,41,#N/A
tinter,Intransitif - Transitif,41,367
tirer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,9380
titiller,Intransitif - Transitif,41,4
toiler,Transitif,49,#N/A
toiser,Transitif,49,#N/A
tolérer,Transitif,49,#N/A
tomber,Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,12013
tomer,Transitif,49,#N/A
tondre,Fréquent - Transitif,24,#N/A
tonner,Intransitif - Impersonnel,35,#N/A
toquer,Intransitif - Autorise la forme pronominale,30,#N/A
tordre,Fréquent - Transitif - Autorise la forme pronominale,25,822
toucher,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,6647
tourner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,8845
tournoyer,Intransitif,29,#N/A
tousser,Fréquent - Intransitif,6,518
tracasser,Transitif - Autorise la forme pronominale,50,#N/A
tracer,Fréquent - Intransitif - Transitif,16,#N/A
traduire,Fréquent - Transitif - Autorise la forme pronominale,25,1190
trahir,Fréquent - Transitif - Autorise la forme pronominale,25,1364
traîner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
traire,Transitif,49,#N/A
traiter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
tramer,Transitif - Autorise la forme pronominale,50,#N/A
transcrire,Transitif,49,#N/A
transférer,Transitif,49,#N/A
transformer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
transmettre,Transitif - Autorise la forme pronominale,50,669
transparaître,Intransitif,29,#N/A
transporter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
travailler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
traverser,Fréquent - Transitif,24,#N/A
trembler,Fréquent - Intransitif,6,3225
tremper,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
tressaillir,Intransitif,29,742
tricher,Intransitif,29,188
tricoter,Intransitif - Transitif,41,#N/A
trier,Fréquent - Transitif,24,107
tripoter,Intransitif - Transitif,41,118
tromper,Fréquent - Transitif - Autorise la forme pronominale,25,4145
trotter,Intransitif - Autorise la forme pronominale,30,#N/A
troubler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
trouer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
trouver,Fréquent - Transitif - Autorise la forme pronominale,25,35999
tuer,Fréquent - Transitif - Autorise la forme pronominale,25,5097
tuiler,Transitif,49,#N/A
tutoyer,Transitif - Autorise la forme pronominale,50,#N/A
unir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
urger,Intransitif - Défectif - Impersonnel,34,#N/A
uriner,Intransitif,29,#N/A
user,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
utiliser,Transitif,49,#N/A
vagir,Intransitif,29,#N/A
vaguer,Intransitif,29,#N/A
vaincre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
valider,Transitif,49,#N/A
valoir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,6883
vanner,Transitif,49,#N/A
vanter,Fréquent - Transitif - Autorise la forme pronominale,25,799
vaquer,Intransitif,29,#N/A
varier,Fréquent - Intransitif - Transitif,16,#N/A
vaser,Impersonnel,28,#N/A
veiller,Fréquent - Intransitif - Transitif,16,#N/A
vêler,Intransitif,29,#N/A
vendre,Fréquent - Transitif - Autorise la forme pronominale,25,2314
vénérer,Transitif,49,#N/A
venger,Fréquent - Transitif - Autorise la forme pronominale,25,892
venir,Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,10,50795
venter,Impersonnel,28,#N/A
verdir,Fréquent - Intransitif - Transitif,16,#N/A
vérifier,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
vernir,Fréquent - Transitif,24,#N/A
verrouiller,Transitif - Autorise la forme pronominale,50,#N/A
verser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1482
vêtir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
vexer,Transitif - Autorise la forme pronominale,50,#N/A
vider,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
vieillir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
viner,Transitif,49,#N/A
violer,Transitif,49,#N/A
virer,Intransitif - Transitif,41,227
viser,Fréquent - Intransitif - Transitif,16,#N/A
visionner,Transitif,49,#N/A
visiter,Fréquent - Transitif,24,#N/A
visser,Transitif,49,#N/A
vivre,Fréquent - Intransitif - Transitif,16,#N/A
voguer,Intransitif,29,#N/A
voiler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
voir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,76157
voler,Fréquent - Intransitif - Transitif,16,1857
voleter,Intransitif,29,#N/A
vomir,Fréquent - Transitif,24,365
voter,Fréquent - Intransitif - Transitif,16,#N/A
vouer,Transitif - Autorise la forme pronominale,50,#N/A
vouloir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,63731
voûter,Transitif - Autorise la forme pronominale,50,#N/A
vouvoyer,Transitif - Autorise la forme pronominale,50,#N/A
voyager,Fréquent - Intransitif,6,#N/A
zapper,Transitif,49,(Vb.Angl.T5.F8.)
zézayer,Intransitif - Transitif,41,#N/A
