VERB,EMPLOI,IDX,Verbe freq.
désapprendre,Transitif,49,#N/A
descendre,Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,7382
désespérer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
déshabiller,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
désigner,Fréquent - Transitif,24,#N/A
désirer,Fréquent - Transitif,24,#N/A
se désister,Autorise la forme pronominale,0,#N/A
désobéir,Fréquent - Intransitif,6,#N/A
désoler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
dessaisir,Transitif - Autorise la forme pronominale,50,#N/A
desservir,Transitif,49,#N/A
dessiner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
destiner,Transitif - Autorise la forme pronominale,50,#N/A
détacher,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
détailler,Transitif,49,#N/A
détaler,Intransitif,29,#N/A
détecter,Transitif,49,#N/A
déteindre,Intransitif - Transitif,41,#N/A
détendre,Transitif - Autorise la forme pronominale,50,#N/A
détenir,Transitif,49,#N/A
détériorer,Transitif - Autorise la forme pronominale,50,30
déterminer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
détester,Fréquent - Transitif,24,1347
détruire,Fréquent - Transitif - Autorise la forme pronominale,25,1607
devancer,Transitif,49,#N/A
développer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
devenir,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
dévêtir,Transitif - Autorise la forme pronominale,50,#N/A
dévier,Intransitif - Transitif,41,#N/A
deviner,Fréquent - Transitif - Autorise la forme pronominale,25,3110
dévoiler,Transitif - Autorise la forme pronominale,50,#N/A
devoir,Fréquent - Transitif - Autorise la forme pronominale,25,44410
dévorer,Fréquent - Transitif - Autorise la forme pronominale,25,952
dévouer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
dévoyer,Transitif - Autorise la forme pronominale,50,#N/A
diagnostiquer,Transitif,49,#N/A
dialoguer,Intransitif,29,#N/A
dicter,Fréquent - Transitif,24,662
différencier,Transitif - Autorise la forme pronominale,50,#N/A
différer,Fréquent - Intransitif - Transitif,16,#N/A
diffuser,Transitif - Autorise la forme pronominale,50,#N/A
digérer,Transitif - Autorise la forme pronominale,50,223
diluer,Transitif - Autorise la forme pronominale,50,#N/A
diminuer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
dîner,Fréquent - Intransitif,6,6007
dire,Fréquent - Transitif - Autorise la forme pronominale,25,165128
diriger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
disconvenir,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,#N/A
discourir,Intransitif,29,#N/A
discuter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
disjoindre,Transitif - Autorise la forme pronominale,50,#N/A
disparaître,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,#N/A
dispenser,Transitif - Autorise la forme pronominale,50,#N/A
disperser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
disposer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
