confesser,se confesser
confiner,se confiner
confirmer,se confirmer
conformer,se conformer
conforter,se conforter
congeler,se congeler
congestionner,se congestionner
conglomérer,se conglomérer
congratuler,se congratuler
conjuguer,se conjuguer
conjurer,se conjurer
consacrer,se consacrer
conserver,se conserver
considérer,se considérer
consoler,se consoler
consolider,se consolider
consommer,se consommer
constituer,se constituer
consulter,se consulter
consumer,se consumer
contempler,se contempler
contenter,se contenter
continuer,se continuer
contorsionner,se contorsionner
contracter,se contracter
contrarier,se contrarier
en contrebalancer,s'en contrebalancer
contreficher,se contreficher
contrôler,se contrôler
convulser,se convulser
cornancher,se cornancher
corriger,se corriger
corser,se corser
costumer,se costumer
cotiser,se cotiser
côtoyer,se côtoyer
cotonner,se cotonner
coucher,se coucher
couler,se couler
couper,se couper
courber,se courber
couronner,se couronner
courroucer,se courroucer
créer,se créer
crever,se crever
cramponner,se cramponner
craqueler,se craqueler
crasher,se crasher
cravater,se cravater
créoliser,se créoliser
crêper,se crêper
creuser,se creuser
crevasser,se crevasser
criquer,se criquer
crisper,se crisper
cristalliser,se cristalliser
croiser,se croiser
crotter,se crotter
croûtonner,se croûtonner
cuirasser,se cuirasser
cuiter,se cuiter
culotter,se culotter
cultiver,se cultiver
curer,se curer
damner,se damner
dandiner,se dandiner
darder,se darder
déambuler,se déambuler
déballonner,se déballonner
débander,se débander
débarbouiller,se débarbouiller
débarrasser,se débarrasser
débaucher,se débaucher
débecqueter,se débecqueter
débequeter,se débequeter
débiner,se débiner
déboîter,se déboîter
débonder,se débonder
déborder,se déborder
débotter,se débotter
débouder,se débouder
déboutonner,se déboutonner
débraguetter,se débraguetter
débrailler,se débrailler
débrancher,se débrancher
débrouiller,se débrouiller
décalcifier,se décalcifier
décanter,se décanter
décarcasser,se décarcasser
décarêmer,se décarêmer
décaver,se décaver
décentrer,se décentrer
décentraliser,se décentraliser
déchaîner,se déchaîner
décharger,se décharger
déchausser,se déchausser
déchirer,se déchirer
déchristianiser,se déchristianiser
décider,se décider
déclarer,se déclarer
déclencher,se déclencher
décliner,se décliner
décoiffer,se décoiffer
décoller,se décoller
décolleter,se décolleter
décolorer,se décolorer
décommander,se décommander
décomposer,se décomposer
déconcentrer,se déconcentrer
déconcubiner,se déconcubiner
déconsidérer,se déconsidérer
décontenancer,se décontenancer
décontracter,se décontracter
décorder,se décorder
découper,se découper
décourager,se décourager
décrapouiller,se décrapouiller
décrasser,se décrasser
décréditer,se décréditer
décrisper,se décrisper
décrocher,se décrocher
déculotter,se déculotter
dédommager,se dédommager
dédouaner,se dédouaner
dédoubler,se dédoubler
défier,se défier
défâcher,se défâcher
défatiguer,se défatiguer
défausser,se défausser
défenestrer,se défenestrer
défigurer,se défigurer
défiler,se défiler
défoncer,se défoncer
déformer,se déformer
défouler,se défouler
défringuer,se défringuer
défroisser,se défroisser
défroquer,se défroquer
dégeler,se dégeler
dégager,se dégager
déganter,se déganter
dégénérer,se dégénérer
dégingander,se dégingander
déglinguer,se déglinguer
dégonfler,se dégonfler
dégorger,se dégorger
dégoûter,se dégoûter
dégrader,se dégrader
dégrafer,se dégrafer
dégriser,se dégriser
dégrouiller,se dégrouiller
déguiser,se déguiser
déhaler,se déhaler
déhancher,se déhancher
déharnacher,se déharnacher
déjeter,se déjeter
déjuger,se déjuger
délier,se délier
délabialiser,se délabialiser
délabrer,se délabrer
délasser,se délasser
délatter,se délatter
délecter,se délecter
délester,se délester
délicoter,se délicoter
déliter,se déliter
délivrer,se délivrer
délocaliser,se délocaliser
déloquer,se déloquer
démener,se démener
démailler,se démailler
démancher,se démancher
demander,se demander
démantibuler,se démantibuler
démaquer,se démaquer
démaquiller,se démaquiller
démarier,se démarier
démarquer,se démarquer
démasquer,se démasquer
démêler,se démêler
démerder,se démerder
démobiliser,se démobiliser
démocratiser,se démocratiser
démoder,se démoder
démonter,se démonter
démontrer,se démontrer
démoraliser,se démoraliser
démotiver,se démotiver
démouscailler,se démouscailler
dénaturer,se dénaturer
déniaiser,se déniaiser
dénoncer,se dénoncer
dénouer,se dénouer
dénuer,se dénuer
dénuder,se dénuder
dépagnoter,se dépagnoter
dépailler,se dépailler
dépasser,se dépasser
dépatouiller,se dépatouiller
dépatrier,se dépatrier
dépêcher,se dépêcher
dépenser,se dépenser
dépersonnaliser,se dépersonnaliser
dépêtrer,se dépêtrer
dépeupler,se dépeupler
dépiter,se dépiter
déplier,se déplier
déplacer,se déplacer
déplanquer,se déplanquer
déplisser,se déplisser
déployer,se déployer
déplumer,se déplumer
dépoiler,se dépoiler
dépolitiser,se dépolitiser
déporter,se déporter
déposer,se déposer
dépouiller,se dépouiller
déprécier,se déprécier
déprimer,se déprimer
dérégler,se dérégler
déranger,se déranger
dérider,se dérider
dérober,se dérober
dérouiller,se dérouiller
dérouler,se dérouler
dérouter,se dérouter
désabonner,se désabonner
désaccorder,se désaccorder
désaccoutumer,se désaccoutumer
désadapter,se désadapter
désaffectionner,se désaffectionner
désagréger,se désagréger
désaltérer,se désaltérer
désâmer,se désâmer
désamorcer,se désamorcer
désaper,se désaper
désargenter,se désargenter
désarmer,se désarmer
désarticuler,se désarticuler
desceller,se desceller
désembourgeoiser,se désembourgeoiser
désenclaver,se désenclaver
désencombrer,se désencombrer
désendetter,se désendetter
désénerver,se désénerver
désenfler,se désenfler
désengager,se désengager
désengluer,se désengluer
désennuyer,se désennuyer
désensibiliser,se désensibiliser
déséquiper,se déséquiper
déserter,se déserter
désespérer,se désespérer
désexciter,se désexciter
déshabiller,se déshabiller
déshabituer,se déshabituer
déshonorer,se déshonorer
déshumaniser,se déshumaniser
déshydrater,se déshydrater
désincarner,se désincarner
désindustrialiser,se désindustrialiser
désintégrer,se désintégrer
désintéresser,se désintéresser
désintoxiquer,se désintoxiquer
désister,se désister
désoler,se désoler
désolidariser,se désolidariser
désopiler,se désopiler
désorbiter,se désorbiter
désorganiser,se désorganiser
désorienter,se désorienter
désosser,se désosser
dessécher,se dessécher
dessaler,se dessaler
dessangler,se dessangler
dessaouler,se dessaouler
dessaper,se dessaper
desserrer,se desserrer
dessiller,se dessiller
dessiner,se dessiner
dessouder,se dessouder
dessoûler,se dessoûler
destiner,se destiner
déstructurer,se déstructurer
détacher,se détacher
détériorer,se détériorer
déterminer,se déterminer
détester,se détester
détirer,se détirer
détourner,se détourner
détraquer,se détraquer
détromper,se détromper
dévaloriser,se dévaloriser
dévaluer,se dévaluer
développer,se développer
dévergonder,se dévergonder
déverser,se déverser
dévider,se dévider
deviner,se deviner
dévoyer,se dévoyer
dévoiler,se dévoiler
dévorer,se dévorer
dévouer,se dévouer
différencier,se différencier
diffuser,se diffuser
digérer,se digérer
dilater,se dilater
diluer,se diluer
diminuer,se diminuer
diriger,se diriger
discréditer,se discréditer
disculper,se disculper
discuter,se discuter
disloquer,se disloquer
dispenser,se dispenser
disperser,se disperser
disposer,se disposer
disputer,se disputer
disqualifier,se disqualifier
disséminer,se disséminer
dissimuler,se dissimuler
dissiper,se dissiper
dissocier,se dissocier
distancer,se distancer
distancier,se distancier
distinguer,se distinguer
distribuer,se distribuer
diversifier,se diversifier
diviser,se diviser
divulguer,se divulguer
documenter,se documenter
dominer,se dominer
donner,se donner
doper,se doper
dorer,se dorer
dorloter,se dorloter
doter,se doter
doubler,se doubler
doucher,se doucher
douter,se douter
draper,se draper
dresser,se dresser
droguer,se droguer
duper,se duper
duveter,se duveter
ébaucher,s'ébaucher
éborgner,s'éborgner
ébouillanter,s'ébouillanter
ébouler,s'ébouler
ébrécher,s'ébrécher
ébranler,s'ébranler
ébrouer,s'ébrouer
ébruiter,s'ébruiter
écailler,s'écailler
écaler,s'écaler
écarter,s'écarter
échanger,s'échanger
échapper,s'échapper
écharper,s'écharper
échauder,s'échauder
échauffer,s'échauffer
échelonner,s'échelonner
échiner,s'échiner
échouer,s'échouer
éclabousser,s'éclabousser
éclairer,s'éclairer
éclater,s'éclater
éclipser,s'éclipser
écorcher,s'écorcher
écouler,s'écouler
écouter,s'écouter
écrier,s'écrier
écraser,s'écraser
écrouler,s'écrouler
effacer,s'effacer
effarer,s'effarer
effaroucher,s'effaroucher
effectuer,s'effectuer
effeuiller,s'effeuiller
effiler,s'effiler
effilocher,s'effilocher
efflanquer,s'efflanquer
effondrer,s'effondrer
efforcer,s'efforcer
effrayer,s'effrayer
effranger,s'effranger
effriter,s'effriter
égayer,s'égayer
égailler,s'égailler
égarer,s'égarer
égorger,s'égorger
égosiller,s'égosiller
égoutter,s'égoutter
égrener,s'égrener
égrainer,s'égrainer
égratigner,s'égratigner
éjecter,s'éjecter
élever,s'élever
élaborer,s'élaborer
élancer,s'élancer
électrocuter,s'électrocuter
élider,s'élider
éliminer,s'éliminer
éloigner,s'éloigner
émacier,s'émacier
émanciper,s'émanciper
emballer,s'emballer
embaquer,s'embaquer
embarbouiller,s'embarbouiller
embarder,s'embarder
embarquer,s'embarquer
embarrer,s'embarrer
embarrasser,s'embarrasser
embaucher,s'embaucher
embéguiner,s'embéguiner
emberlificoter,s'emberlificoter
embêter,s'embêter
emboîter,s'emboîter
embosser,s'embosser
embourber,s'embourber
embourgeoiser,s'embourgeoiser
embourrer,s'embourrer
embrancher,s'embrancher
embraser,s'embraser
embrasser,s'embrasser
embrigader,s'embrigader
embringuer,s'embringuer
embrouiller,s'embrouiller
embroussailler,s'embroussailler
embuer,s'embuer
embusquer,s'embusquer
émerveiller,s'émerveiller
émietter,s'émietter
emmailloter,s'emmailloter
emmancher,s'emmancher
emmêler,s'emmêler
emmerder,s'emmerder
emmitoufler,s'emmitoufler
émousser,s'émousser
empaler,s'empaler
emparer,s'emparer
empâter,s'empâter
empêcher,s'empêcher
empêtrer,s'empêtrer
empiffrer,s'empiffrer
empiler,s'empiler
empirer,s'empirer
emplafonner,s'emplafonner
employer,s'employer
empoigner,s'empoigner
empoisonner,s'empoisonner
emporter,s'emporter
empourprer,s'empourprer
empoussiérer,s'empoussiérer
empresser,s'empresser
enamourer,s'enamourer
énamourer,s'énamourer
encadrer,s'encadrer
encanailler,s'encanailler
encapuchonner,s'encapuchonner
encasteler,s'encasteler
encastrer,s'encastrer
enchaîner,s'enchaîner
