Группа,Прямая форма,Возвратная форма
I,défouler,se défouler
I,défringuer,se défringuer
I,défroisser,se défroisser
I,défroquer,se défroquer
I,dégeler,se dégeler
I,dégager,se dégager
I,déganter,se déganter
I,dégénérer,se dégénérer
I,dégingander,se dégingander
I,déglinguer,se déglinguer
I,dégonfler,se dégonfler
I,dégorger,se dégorger
I,dégoûter,se dégoûter
I,dégrader,se dégrader
I,dégrafer,se dégrafer
I,dégriser,se dégriser
I,dégrouiller,se dégrouiller
I,déguiser,se déguiser
I,déhaler,se déhaler
I,déhancher,se déhancher
I,déharnacher,se déharnacher
I,déjeter,se déjeter
I,déjuger,se déjuger
I,délier,se délier
I,délabialiser,se délabialiser
I,délabrer,se délabrer
I,délasser,se délasser
I,délatter,se délatter
I,délecter,se délecter
I,délester,se délester
I,délicoter,se délicoter
I,déliter,se déliter
I,délivrer,se délivrer
I,délocaliser,se délocaliser
I,déloquer,se déloquer
I,démener,se démener
I,démailler,se démailler
I,démancher,se démancher
I,demander,se demander
I,démantibuler,se démantibuler
I,démaquer,se démaquer
I,démaquiller,se démaquiller
I,démarier,se démarier
I,démarquer,se démarquer
I,démasquer,se démasquer
I,démêler,se démêler
I,démerder,se démerder
I,démobiliser,se démobiliser
I,démocratiser,se démocratiser
I,démoder,se démoder
I,démonter,se démonter
I,démontrer,se démontrer
I,démoraliser,se démoraliser
I,démotiver,se démotiver
I,démouscailler,se démouscailler
I,dénaturer,se dénaturer
I,déniaiser,se déniaiser
I,dénoncer,se dénoncer
I,dénouer,se dénouer
I,dénuer,se dénuer
I,dénuder,se dénuder
I,dépagnoter,se dépagnoter
I,dépailler,se dépailler
I,dépasser,se dépasser
I,dépatouiller,se dépatouiller
I,dépatrier,se dépatrier
I,dépêcher,se dépêcher
I,dépenser,se dépenser
I,dépersonnaliser,se dépersonnaliser
I,dépêtrer,se dépêtrer
I,dépeupler,se dépeupler
I,dépiter,se dépiter
I,déplier,se déplier
I,déplacer,se déplacer
I,déplanquer,se déplanquer
I,déplisser,se déplisser
I,déployer,se déployer
I,déplumer,se déplumer
I,dépoiler,se dépoiler
I,dépolitiser,se dépolitiser
I,déporter,se déporter
I,déposer,se déposer
I,dépouiller,se dépouiller
I,déprécier,se déprécier
I,déprimer,se déprimer
I,dérégler,se dérégler
I,déranger,se déranger
I,dérider,se dérider
I,dérober,se dérober
I,dérouiller,se dérouiller
I,dérouler,se dérouler
I,dérouter,se dérouter
I,désabonner,se désabonner
I,désaccorder,se désaccorder
I,désaccoutumer,se désaccoutumer
I,désadapter,se désadapter
I,désaffectionner,se désaffectionner
I,désagréger,se désagréger
I,désaltérer,se désaltérer
I,désâmer,se désâmer
I,désamorcer,se désamorcer
I,désaper,se désaper
I,désargenter,se désargenter
I,désarmer,se désarmer
I,désarticuler,se désarticuler
I,desceller,se desceller
I,désembourgeoiser,se désembourgeoiser
I,désenclaver,se désenclaver
I,désencombrer,se désencombrer
I,désendetter,se désendetter
I,désénerver,se désénerver
I,désenfler,se désenfler
I,désengager,se désengager
I,désengluer,se désengluer
I,désennuyer,se désennuyer
I,désensibiliser,se désensibiliser
I,déséquiper,se déséquiper
I,déserter,se déserter
I,désespérer,se désespérer
I,désexciter,se désexciter
I,déshabiller,se déshabiller
I,déshabituer,se déshabituer
I,déshonorer,se déshonorer
I,déshumaniser,se déshumaniser
I,déshydrater,se déshydrater
I,désincarner,se désincarner
I,désindustrialiser,se désindustrialiser
I,désintégrer,se désintégrer
I,désintéresser,se désintéresser
I,désintoxiquer,se désintoxiquer
I,désister,se désister
I,désoler,se désoler
I,désolidariser,se désolidariser
I,désopiler,se désopiler
I,désorbiter,se désorbiter
I,désorganiser,se désorganiser
I,désorienter,se désorienter
I,désosser,se désosser
I,dessécher,se dessécher
I,dessaler,se dessaler
I,dessangler,se dessangler
I,dessaouler,se dessaouler
I,dessaper,se dessaper
I,desserrer,se desserrer
I,dessiller,se dessiller
I,dessiner,se dessiner
I,dessouder,se dessouder
I,dessoûler,se dessoûler
I,destiner,se destiner
I,déstructurer,se déstructurer
I,détacher,se détacher
I,détériorer,se détériorer
I,déterminer,se déterminer
I,détester,se détester
I,détirer,se détirer
I,détourner,se détourner
I,détraquer,se détraquer
I,détromper,se détromper
I,dévaloriser,se dévaloriser
I,dévaluer,se dévaluer
I,développer,se développer
I,dévergonder,se dévergonder
I,déverser,se déverser
I,dévider,se dévider
I,deviner,se deviner
I,dévoyer,se dévoyer
I,dévoiler,se dévoiler
I,dévorer,se dévorer
I,dévouer,se dévouer
I,différencier,se différencier
I,diffuser,se diffuser
I,digérer,se digérer
I,dilater,se dilater
I,diluer,se diluer
I,diminuer,se diminuer
I,diriger,se diriger
I,discréditer,se discréditer
I,disculper,se disculper
I,discuter,se discuter
I,disloquer,se disloquer
I,dispenser,se dispenser
I,disperser,se disperser
I,disposer,se disposer
I,disputer,se disputer
I,disqualifier,se disqualifier
I,disséminer,se disséminer
I,dissimuler,se dissimuler
I,dissiper,se dissiper
